Name,Class,med,sigma,M3,M4,dnfft_1,dnfft_2,dnfft_3,dnpfft_1,dnpfft_2,dnpfft_3,dipfft_1,dipfft_2,dipfft_3,dntimp_1,dntimp_2,dntimp_3,hhcor_1,hhcor_2,hhcor_3,hurst_1,hurst_2,hurst_3,sum_q,ttt
antipers1,generated,0.005764316,1.008221475,0.379213228,1.32052121,1.47361499,0.01866184,2.47361499,1.473552495,0.01866119,2.473552495,2.026066821,0.007704681,2.526066821,1.506748529,0.031317515,2.506748529,0.000586463,0.005954801,1.999413537,0.08625685,0.033670171,1.91374315,0.019575137,0.983149075
antipers2,generated,0.005101746,1.021545678,0.380920976,1.320958037,1.561347667,0.0139357,2.561347667,1.56127078,0.013938446,2.56127078,2.05831427,0.010043424,2.55831427,1.535737619,0.028197777,2.535737619,0.000445882,0.006110737,1.999554118,0.08938757,0.032611885,1.91061243,0.019447618,0.982355332
antipers3,generated,0.004439177,1.044409438,0.380008571,1.320709134,1.65693108,0.012985206,2.65693108,1.656831651,0.012993706,2.656831651,2.099054643,0.018592062,2.599054643,1.569770105,0.037249158,2.569770105,0.000320051,0.006314652,1.999679949,0.09404826,0.031929177,1.90595174,0.019244138,0.981018015
antipers4,generated,0.003776607,1.076204928,0.376065802,1.319872906,1.758671334,0.014522685,2.758671334,1.758538062,0.014533107,2.758538062,2.149985704,0.029405407,2.649985704,1.609638977,0.053742581,2.609638977,0.000213793,0.006529806,1.999786207,0.096599478,0.031902279,1.903400522,0.018987709,0.979209756
antipers5,generated,0.003114037,1.116169115,0.369008333,1.318637925,1.864324045,0.016990952,2.864324045,1.864141655,0.016996536,2.864141655,2.213040275,0.041462384,2.713040275,1.656244024,0.074193025,2.656244024,0.000129143,0.006726633,1.999870857,0.097502989,0.032390652,1.902497011,0.018704668,0.977031493
antipers6,generated,0.002451467,1.163460534,0.35896035,1.317214194,1.970700455,0.020212842,2.970700455,1.970449758,0.020206886,2.970449758,2.290116338,0.054364003,2.790116338,1.710434379,0.098369674,2.710434379,6.57335301982727e-05,0.006887503,1.999934266,0.097314407,0.032954329,1.902685593,0.01842093,0.974610692
antipers7,generated,0.001788897,1.217225454,0.346126341,1.315781551,2.072766711,0.024692192,3.072766711,2.072427422,0.024670742,3.072427422,2.382990532,0.067763179,2.882990532,1.772583427,0.128289093,2.772583427,2.15495386986832e-05,0.007005825,1.99997845,0.09620622,0.033350389,1.90379378,0.018159742,0.972102192
antipers8,generated,0.001126328,1.276646259,0.330679501,1.314465863,2.161962722,0.030364201,3.161962722,2.16152361,0.030327447,3.16152361,2.490459844,0.081684226,2.990459844,1.841533771,0.167834368,2.841533771,-6.28E-06,0.007082699,2.000006278,0.095507962,0.033467747,1.904492038,0.017941282,0.969697212
antipers9,generated,0.000463758,1.340971293,0.312667971,1.313337962,2.224658864,0.035614286,3.224658864,2.224142671,0.035567234,3.224142671,2.595048396,0.09661008,3.095048396,1.90987705,0.217404343,2.90987705,-2.08E-05,0.007123448,2.000020846,0.095221704,0.033243789,1.904778296,0.017784554,0.967659038
antipers10,generated,-0.000198812,1.40952929,0.291917111,1.312424773,2.246799107,0.037760539,3.246799107,2.246281478,0.037714999,3.246281478,2.643238047,0.105535965,3.143238047,1.941873492,0.249572588,2.941873492,-2.51E-05,0.007135,2.000025077,0.095023495,0.033253925,1.904976505,0.017716335,0.966536549
