Name,Class,med,sigma,M3,M4,dnfft_1,dnfft_2,dnfft_3,dnpfft_1,dnpfft_2,dnpfft_3,dipfft_1,dipfft_2,dipfft_3,dntimp_1,dntimp_2,dntimp_3,hhcor_1,hhcor_2,hhcor_3,hurst_1,hurst_2,hurst_3,sum_q,ttt
df1.1,generated,0.192604062,0.805003928,0.842779847,1.106292142,0.11780987,0.004244577,1.11780987,0.110682563,0.003712169,1.110682563,0.595052083,0.009859933,1.095052083,0.14758222,0.021716989,1.14758222,0.857287768,0.014340468,1.142712232,0.837135381,0.059005755,1.162864619,0.00165455,0.693358256
df1.2,generated,0.416394879,0.557736167,1.119259089,1.279869287,0.202156418,0.004557924,1.202156418,0.202176065,0.004555668,1.202176065,0.736365915,0.022829201,1.236365915,0.246859519,0.026293459,1.246859519,0.770730981,0.041621717,1.229269019,0.779635061,0.078818527,1.220364939,0.000823583,0.438117616
df1.3,generated,0.289293982,0.568324711,0.984346177,1.272486774,0.287901342,0.005908991,1.287901342,0.283725591,0.005453217,1.283725591,0.798682552,0.007360187,1.298682552,0.306643133,0.0114505,1.306643133,0.539848845,0.059634477,1.460151155,0.660945051,0.083624202,1.339054949,0.002889923,0.761222201
df1.4,generated,-0.075301654,0.704880242,0.967772457,1.308710757,0.3905005,0.008416155,1.3905005,0.388043689,0.008038739,1.388043689,0.926290156,0.01203528,1.426290156,0.430987042,0.02480011,1.430987042,0.532540788,0.022294876,1.467459212,0.503790933,0.058129089,1.496209067,0.002827622,0.751962507
df1.5,generated,-0.319976887,0.646672399,1.177254196,1.54557964,0.486871832,0.00738926,1.486871832,0.485934377,0.007275422,1.485934377,0.990180017,0.007587205,1.490180017,0.493244164,0.014501849,1.493244164,0.390589492,0.119433611,1.609410508,0.510018663,0.06598728,1.489981337,0.003177804,0.764077991
df1.6,generated,-0.154137103,1.036808149,0.81868052,1.220249723,0.57492405,0.00467312,1.57492405,0.574809687,0.004653415,1.574809687,1.081635279,0.007297708,1.581635279,0.585744751,0.016126658,1.585744751,0.523629838,0.035408074,1.476370162,0.479672155,0.043133197,1.520327845,0.00237045,0.753510209
df1.7,generated,-0.112720249,0.856130678,0.482414779,1.311513869,0.672375429,0.003964713,1.672375429,0.671936271,0.004005037,1.671936271,1.166705824,0.005684292,1.666705824,0.670689903,0.009081665,1.670689903,0.254838487,0.05345459,1.745161513,0.35988515,0.045944661,1.64011485,0.004241565,0.833448322
df1.8,generated,0.131353446,1.013981531,0.951937663,1.336778004,0.784987498,0.005986068,1.784987498,0.784024333,0.005985486,1.784024333,1.285776514,0.006437998,1.785776514,0.786757119,0.008656998,1.786757119,0.217629994,0.04186592,1.782370006,0.286456296,0.041051436,1.713543704,0.006383183,0.887732679
df1.9,generated,-0.225494034,1.063974795,0.82761095,1.322498201,0.886315854,0.010407515,1.886315854,0.886645843,0.010479293,1.886645843,1.427007832,0.009071706,1.927007832,0.897905619,0.012082504,1.897905619,0.077749861,0.044154918,1.922250139,0.189943073,0.036046575,1.810056927,0.010698222,0.93494783
df2,generated,0.330492159,1.735172411,1.038251183,1.381564543,1.013815756,0.008397285,2.013815756,1.013874959,0.008473605,2.013874959,1.52148854,0.009746168,2.02148854,1.018581866,0.018813955,2.018581866,0.083360725,0.019500155,1.916639275,0.174510627,0.040522358,1.825489373,0.013173391,0.954388308
