Name,Class,med,sigma,M3,M4,dnfft_1,dnfft_2,dnfft_3,dnpfft_1,dnpfft_2,dnpfft_3,dipfft_1,dipfft_2,dipfft_3,dntimp_1,dntimp_2,dntimp_3,hhcor_1,hhcor_2,hhcor_3,hurst_1,hurst_2,hurst_3,sum_q,ttt
pers1,generated,0.006560972,0.716160806,0.350599642,1.314785752,1.103446611,0.089880755,2.103446611,1.103400888,0.089903619,2.103400888,1.913335387,0.03218617,2.413335387,1.38537372,0.120395003,2.38537372,0.001466777,0.006810876,1.998533223,0.088084775,0.031941453,1.911915225,0.017657487,0.965827057
pers2,generated,0.006573639,0.620124285,0.325895384,1.309902785,0.924489538,0.119034569,1.924489538,0.924457031,0.119058138,1.924457031,1.856896028,0.055112428,2.356896028,1.334911116,0.160808581,2.334911116,0.001564449,0.007685435,1.998435551,0.096254995,0.030215996,1.903745005,0.016048051,0.946615136
pers3,generated,0.006584961,0.565251112,0.329258913,1.30638101,0.79576099,0.133495252,1.79576099,0.795725674,0.133516494,1.795725674,1.802213728,0.075717845,2.302213728,1.294194125,0.187920139,2.294194125,0.001583336,0.008323957,1.998416664,0.092702559,0.035874958,1.907297441,0.014950413,0.931388481
pers4,generated,0.006599109,0.527824252,0.338101269,1.304309787,0.696311563,0.140311029,1.696311563,0.69627161,0.140329918,1.69627161,1.747185382,0.093098872,2.247185382,1.254534708,0.206880045,2.254534708,0.001571793,0.008839478,1.998428207,0.103768744,0.040030561,1.896231256,0.014144437,0.919200042
pers5,generated,0.006623621,0.499887019,0.348538417,1.303207568,0.616336189,0.142727573,1.616336189,0.616300091,0.142744214,1.616300091,1.694766629,0.108243894,2.194766629,1.216867548,0.220975516,2.216867548,0.001541581,0.009289296,1.998458419,0.100931374,0.042528734,1.899068626,0.013524989,0.909510048
pers6,generated,0.00665985,0.47784917,0.358834345,1.302826175,0.550457466,0.142489629,1.550457466,0.550430264,0.142504801,1.550430264,1.649971381,0.122435273,2.149971381,1.186811453,0.233375515,2.186811453,0.001499618,0.009699914,1.998500382,0.110926382,0.042801892,1.889073618,0.013032763,0.901756662
pers7,generated,0.006702422,0.45980565,0.368324677,1.302968192,0.495306935,0.140604926,1.495306935,0.495288534,0.140619714,1.495288534,1.614812217,0.136313579,2.114812217,1.167275331,0.245965932,2.167275331,0.001449272,0.010082629,1.998550728,0.107750869,0.043537697,1.892249131,0.012622685,0.895129088
pers8,generated,0.006743331,0.444637936,0.376911374,1.303476336,0.448478033,0.137686681,1.448478033,0.448466048,0.137701802,1.448466048,1.588077744,0.149999401,2.088077744,1.156376224,0.259093939,2.156376224,0.001393159,0.010441423,1.998606841,0.110984377,0.041437493,1.889015623,0.012260716,0.888795529
pers9,generated,0.006775836,0.431635761,0.384730272,1.304234451,0.408182349,0.134129722,1.408182349,0.408174328,0.134145314,1.408174328,1.56657935,0.163220534,2.06657935,1.149516123,0.272005846,2.149516123,0.001335271,0.01077849,1.998664729,0.108446496,0.03981083,1.891553504,0.011930036,0.882374985
pers10,generated,0.006796412,0.420315249,0.391813366,1.305147008,0.373135127,0.130199331,1.373135127,0.373129438,0.130215175,1.373129438,1.546720698,0.175456019,2.046720698,1.142266992,0.283581408,2.142266992,0.001279788,0.01109658,1.998720212,0.112621553,0.037493417,1.887378447,0.011625775,0.8758301
